item_id,verdict,note
AL0694,question_underspecified,治疗类型最便宜未明确最低单次费用、平均费用或总费用；SQL按最低单次费用选择。
AL0695,answers,
AL0696,answers,
AL0697,does_not_answer,同一学生Tracy因两只狗被返回两次，未得到按学生去重的姓名和年龄名单。
AL0698,answers,
AL0699,answers,
AL0700,answers,
AL0701,answers,
AL0702,answers,
AL0703,answers,
AL0704,answers,
AL0705,answers,
AL0706,does_not_answer,SourceAirport带前导空格，CVO和APG筛选均失配，未得到真实差集。
AL0707,answers,
AL0708,answers,
AL0709,answers,
AL0710,does_not_answer,机场代码前导空格未处理，APG与CVO出发航空公司的交集错误为空。
AL0711,answers,
AL0712,answers,
AL0713,answers,
AL0714,answers,
AL0715,answers,
AL0716,does_not_answer,在赛事中赢过任意比赛不等于赢得赛事冠军；查询未限定决赛胜者。
AL0717,answers,
AL0718,question_underspecified,largest percentage可能指西班牙语全球最高占比，或其在某国内超过其他语言；SQL按全球最高占比选国。
AL0719,answers,
AL0720,answers,
AL0721,does_not_answer,航班代码和城市名含额外空格，连接及筛选不匹配，返回空集。
AL0722,question_underspecified,car和versions未明确指Model下的不同Make，还是同一Make的不同车辆记录；SQL按Make分组计记录。
AL0723,answers,
AL0724,answers,
AL0725,answers,
AL0726,answers,
AL0727,answers,
AL0728,does_not_answer,SourceAirport实际带前导空格，直接匹配AHD遗漏真实航空公司。
AL0729,answers,
AL0730,question_underspecified,未指定年龄排序方向，生日降序对应年龄升序；相反方向也符合未限定的按年龄排序。
AL0731,answers,
AL0732,answers,
AL0733,answers,
AL0734,answers,
AL0735,answers,
AL0736,does_not_answer,只统计Kyle位于student_id端的1条关系，遗漏friend_id端的2位朋友。
AL0737,does_not_answer,"不存在Ben Jones, Michael Chang这一合并导演值；将两个人名作单个字符串筛选导致空集。"
AL0738,answers,
AL0739,does_not_answer,SourceAirport中AHD带前导空格，等值筛选错误返回0。
AL0740,answers,
AL0741,answers,
AL0742,answers,
AL0743,answers,
AL0744,question_underspecified,按年龄排序未给出升降序；生日升序对应年龄降序。
AL0745,answers,
AL0746,does_not_answer,数据库实际州名为NorthCarolina，筛选带空格的North Carolina遗漏符合的未注册学生。
AL0747,answers,
AL0748,answers,
AL0749,answers,
AL0750,does_not_answer,greater than any country应与欧洲最大面积比较，MIN只表示超过最小的欧洲国家。
AL0751,answers,
AL0752,answers,
AL0753,answers,
AL0754,answers,
AL0755,answers,
AL0756,answers,
AL0757,does_not_answer,INNER JOIN遗漏没有演唱会的Joe Sharp，不能给出每位歌手的场次数。
AL0758,answers,
AL0759,answers,
AL0760,answers,
AL0761,answers,
AL0762,answers,
AL0763,answers,
AL0764,does_not_answer,DestAirport中ASY带前导空格，原计数0，实际有1班United Airlines到达ASY。
AL0765,answers,
AL0766,answers,
AL0767,answers,
AL0768,does_not_answer,DestAirport中的ASY带前导空格，原SQL漏计实际1班符合航班。
AL0769,answers,
AL0770,answers,
AL0771,does_not_answer,问题限定doctors，SQL未筛选兽医角色，结果混入Employee等非医生专业人员。
AL0772,answers,
AL0773,answers,
AL0774,does_not_answer,SourceAirport的APG带前导空格，直接比较为空。
AL0775,answers,
AL0776,answers,
AL0777,does_not_answer,SourceAirport存储值含前导空格，原SQL遗漏APG出发航班。
AL0778,answers,
AL0779,answers,
AL0780,answers,
AL0781,answers,
AL0782,answers,
AL0783,answers,
AL0784,answers,
AL0785,answers,
AL0786,answers,
AL0787,answers,
AL0788,answers,
AL0789,does_not_answer,航班 SourceAirport 的实际值含前导空格；直接比较 AHD 返回空表，漏掉实际从该机场出发的航空公司。
AL0790,question_underspecified,“参观某些博物馆不止一次”可指累计访问超过一次，也可指重复参观同一家；SQL只统计累计访问次数，题目未固定口径。
AL0791,does_not_answer,airports.City 实际为带尾随空格的 Anthony，直接等值匹配失败，返回空表。
AL0792,answers,
AL0793,answers,
AL0794,answers,
AL0795,does_not_answer,航班机场代码含前导空格、机场城市含尾随空格；未清理的连接与筛选返回0，实际联合航空抵达 Aberdeen 有3班。
AL0796,answers,
AL0797,answers,
AL0798,answers,
AL0799,answers,
AL0800,answers,
AL0801,answers,
AL0802,answers,
AL0803,answers,
AL0804,does_not_answer,“比亚洲任何国家都少”应低于亚洲最小人口，SQL却与最大人口比较，返回了不符合普遍比较条件的国家。
AL0805,does_not_answer,SourceAirport 实际含前导空格，直接用 APG、CVO 筛选没有匹配，遗漏真实航班。
AL0806,answers,
AL0807,does_not_answer,题目要求美国属地，SQL筛选加勒比地区；Region 并不表示属地关系，应使用相应的 GovernmentForm 分类。
AL0808,answers,
AL0809,answers,
AL0810,answers,
AL0811,does_not_answer,航班目的机场代码有前导空格，城市 Aberdeen 有尾随空格；未规范化导致连接或筛选失败，错误返回0。
AL0812,question_underspecified,“car”及“different versions”未明确指 Model、Make 还是车辆记录；按 Model 统计记录数只是其中一种合理口径。
AL0813,answers,
AL0814,answers,
AL0815,answers,
AL0816,answers,
AL0817,answers,
AL0818,answers,
AL0819,answers,
AL0820,does_not_answer,机场代码和城市字段的实际空格使连接与 Aberdeen 等值筛选失败，未返回真实出发航班。
AL0821,answers,
AL0822,answers,
AL0823,does_not_answer,航班机场代码含前导空格，城市 Aberdeen 含尾随空格；未清理即连接、筛选，错误返回0。
AL0824,does_not_answer,SourceAirport 实际为带前导空格的 APG，直接等值筛选返回0；规范化后有11班出发航班。
AL0825,answers,
AL0826,answers,
AL0827,answers,
AL0828,answers,
AL0829,answers,
AL0830,question_underspecified,“哪些国家的频道不播放”可按单个频道或按整个国家是否完全没有该节目理解；SQL按未播放的频道返回国家，且会重复国家名，题目未明确范围。
AL0831,answers,
AL0832,answers,
AL0833,does_not_answer,DISTINCT 针对姓名和排名的组合，同一个人的不同排名仍是多行；LIMIT 3 实际全是 Madison Keys，并非三名不同的最年轻胜者。
AL0834,answers,
AL0835,cannot_judge,题目明确指定平方英里，但随包表结构及说明没有给出 SurfaceArea 的计量单位，无法确认阈值3000是否需要换算。
AL0836,answers,
AL0837,answers,
AL0838,answers,
AL0839,answers,
AL0840,answers,
AL0841,answers,
AL0842,answers,
AL0843,answers,
AL0844,answers,
AL0845,answers,
AL0846,answers,
AL0847,answers,
AL0848,does_not_answer,“少于亚洲任何国家的人口”应与亚洲人口最小值比较；使用 MAX 将条件放宽成少于最大国家，集合错误。
AL0849,answers,
AL0850,answers,
AL0851,answers,
AL0852,answers,
AL0853,answers,
AL0854,answers,
AL0855,answers,
AL0856,answers,
AL0857,answers,
AL0858,answers,
AL0859,answers,
AL0860,answers,
AL0861,question_underspecified,“only used by a single republic country”可指只有一个共和国使用，或全球仅一个国家使用且该国是共和国；SQL只约束共和国子集内的使用次数。
AL0862,does_not_answer,机场城市带尾随空格，航班目的机场代码带前导空格；未清理的等值筛选错误返回0。
AL0863,answers,
AL0864,answers,
AL0865,does_not_answer,more than 和 less than 要求严格大于160000且严格小于900000；BETWEEN 包含两个边界，虽然当前库无边界记录，条件仍不一致。
AL0866,answers,
AL0867,answers,
AL0868,answers,各年级均有4人；返回12年级是并列最多者之一。
AL0869,answers,
AL0870,answers,
AL0871,does_not_answer,Friend 每对朋友只存一条，Kyle 也会出现在 friend_id 一侧；只数 student_id 返回1，双向合计实际有3个朋友。
AL0872,answers,
AL0873,answers,
AL0874,answers,
AL0875,answers,
AL0876,question_underspecified,“people come most times”未明确按访问记录数还是门票代表的到访人次统计；SQL按访问记录数排序。
AL0877,question_underspecified,题目没有明确“平均”是全体城市的平均人口，还是各自 district 内的平均人口；SQL采用全局平均。
AL0878,answers,
AL0879,does_not_answer,歌手多次参加2014年的音乐会会重复返回；实际 Justin Brown 出现两次，缺少按歌手去重。
AL0880,does_not_answer,SourceAirport 实际含前导空格，直接比较 CVO 或 APG 不匹配，错误返回空表。
AL0881,does_not_answer,Horsepower 的缺失值存为字符串 null；CAST 将其转为0参与平均，错误得到111.1329，排除缺失值后应约111.8408。
AL0882,answers,
AL0883,answers,
AL0884,answers,
AL0885,answers,
AL0886,answers,
AL0887,answers,
AL0888,answers,
AL0889,answers,
AL0890,answers,
AL0891,answers,
AL0892,does_not_answer,内连接遗漏没有参加音乐会的 Joe Sharp；题目要求每位歌手，应保留该歌手并计为0。
AL0893,does_not_answer,SourceAirport 实际为带前导空格的 APG，直接比较返回0，规范化后实际有11班。
AL0894,answers,
AL0895,answers,
AL0896,does_not_answer,目的机场代码含前导空格、城市 Aberdeen 含尾随空格，未清理即连接和筛选，错误返回0。
AL0897,answers,
AL0898,answers,
AL0899,does_not_answer,UNION ALL 将当前、永久地址槽位当作学生计数；学生5的两种地址都是9，因而被同一地点重复统计，并非地点的学生人数。
AL0900,does_not_answer,只排除 Friend.student_id，漏掉只出现在 friend_id 的有朋友学生；本库所有学生都有朋友，应为空集合的 MIN，而不是10。
AL0901,answers,
AL0902,does_not_answer,City 实际为带尾随空格的 Aberdeen，直接等值匹配返回空表，遗漏该市机场。
AL0903,answers,
AL0904,answers,
AL0905,answers,
AL0906,answers,
AL0907,answers,
AL0908,answers,
AL0909,does_not_answer,City 的尾随空格和 DestAirport 的前导空格未处理，筛选不到实际抵达 Aberdeen 的航班。
AL0910,answers,
AL0911,answers,最低人口为0且有并列；返回其中一个国家/地区及其对应字段。
AL0912,answers,
AL0913,answers,
AL0914,answers,
AL0915,answers,
AL0916,does_not_answer,库中名称为 JetBlue Airways，SQLite 当前等值比较区分大小写；Jetblue Airways 不匹配，返回空表。
AL0917,answers,
AL0918,does_not_answer,航空公司实际名称为 JetBlue Airways，Jetblue 的大小写不匹配，错误返回0，实际共有100班。
AL0919,answers,
AL0920,answers,
AL0921,answers,
AL0922,answers,
AL0923,answers,
AL0924,answers,
AL0925,answers,
AL0926,question_underspecified,仅要求按年龄排列，没有说明从年轻到年长还是反向；SQL选择升序，降序也是忠于文字的读法。
AL0927,answers,每国返回一个人口占比最高的语言；并列时取其中一个，题目使用单数语言。
AL0928,does_not_answer,按州连接会把该州全部区号都归给每张选票；实际需从投票电话号码识别区号，返回的14个纽约州区号不是各自都投过两位候选人。
AL0929,does_not_answer,DestAirport 的实际 ATO 值含前导空格，直接等值比较返回0，规范化后实际有7班。
AL0930,answers,
AL0931,answers,
AL0932,answers,
AL0933,answers,
AL0934,answers,
AL0935,answers,
AL0936,answers,
AL0937,does_not_answer,实际存储为 JetBlue Airways，Jetblue 的大小写与之不同，直接等值筛选返回空表。
AL0938,answers,
AL0939,answers,
AL0940,answers,
AL0941,answers,
AL0942,does_not_answer,DestAirport 实际 ATO 值含前导空格，直接等值比较返回0，规范化后实际有7班。
AL0943,answers,
AL0944,does_not_answer,按车辆记录返回年份，107行包含大量重复年份；题目询问有哪些年份，应去重为13个年份。
AL0945,question_underspecified,“Spanish is spoken by the largest percentage”可指西班牙语在各国本国语言中占比最高，也可指西语占比在国家之间达到最高；SQL采用前一种口径。
AL0946,does_not_answer,题目限定医生，SQL没有限制专业人员角色，结果包含 Employee；应筛选库中兽医角色 Veterenarian 后再统计治疗次数。
AL0947,answers,
AL0948,answers,
AL0949,answers,
AL0950,answers,
AL0951,answers,
AL0952,does_not_answer,original_air_date 为英文月名日期文本，直接降序按字典序而非时间排序；返回2008年11月记录，而真正最新为2009年2月、production_code 112。
AL0953,does_not_answer,original_air_date 存为英文月名日期文本；直接 ORDER BY 得到字典顺序，不是发布日期的时间顺序。
AL0954,question_underspecified,题目只说按年龄排序，没有指定年轻在前还是年长在前；按生日升序得到年长在前，也存在相反的合理顺序。
AL0955,question_underspecified,“total population and average”缺少平均对象，可理解为平均人口或平均面积；SQL计算平均人口，问题没有明确排除这种读法。
AL0956,does_not_answer,航班目的机场代码的前导空格和城市 Aberdeen 的尾随空格未处理，导致连接或筛选失败，航班号列表错误为空。
AL0957,answers,
AL0958,answers,
AL0959,answers,
AL0960,answers,
AL0961,answers,
AL0962,answers,
AL0963,does_not_answer,合并当前和永久地址后按地址槽位计数，同一学生在两字段地址相同时会重复计入；本库学生5在地址9被计两次，不是按学生人数统计。
AL0964,answers,
AL0965,answers,
AL0966,does_not_answer,筛选非英语语言行不等于筛选完全不使用英语的国家；多语国家即使使用英语也会被保留，且国家代码大量重复。
AL0967,answers,
AL0968,answers,
AL0969,answers,
AL0970,answers,
AL0971,does_not_answer,Friend 每对朋友只存一条；只查 Kyle 为 student_id 的一侧仅返回 Jordan，漏掉另一侧的 Jessica 和 Austin。
AL0972,answers,
AL0973,answers,
AL0974,answers,
AL0975,does_not_answer,COUNT(*) 统计国家—语言记录，同一种语言在同洲多国使用会重复计数；语言多样性应按不同语言计数，而不是记录总数。
AL0976,answers,
AL0977,answers,
AL0978,answers,
AL0979,answers,
AL0980,answers,
AL0981,does_not_answer,Horsepower 是文本列，>150 按文本比较错误计为281辆；转换为数值后超过150马力的实际为49辆。
AL0982,answers,
AL0983,answers,
AL0984,answers,
AL0985,answers,
AL0986,answers,
AL0987,answers,
AL0988,answers,
AL0989,answers,
AL0990,answers,
AL0991,answers,
AL0992,answers,
AL0993,does_not_answer,筛选其他语言的行符合“还说其他语言”，但直接投影国家代码使多语国家重复返回；实际924行含重复国家代码，需按国家去重。
AL0994,does_not_answer,Continent 实际为 North America，查询使用 north america，大小写不匹配，两个聚合结果均为NULL。
AL0995,does_not_answer,birth_date 为YYYYMMDD整数，strftime不能按该格式直接解析；年龄表达式全部为NULL，实际没有按年龄排序。
AL0996,answers,
AL0997,does_not_answer,Horsepower 为文本，直接与150比较得到281，属于文本比较；按数值马力筛选实际应为49辆。
AL0998,answers,
AL0999,answers,
AL1000,does_not_answer,题目要求人口为80000的欧洲国家，SQL使用>80000，返回了38个超过该人口的国家而非等于80000者。
AL1001,answers,
AL1002,question_underspecified,未说明平均人口是所有城市的全局平均，还是各district内部的平均；SQL选择全局平均，另一种口径同样合理。
AL1003,answers,
AL1004,answers,
AL1005,answers,
AL1006,answers,
AL1007,answers,
AL1008,answers,
AL1009,answers,
AL1010,answers,
AL1011,answers,
AL1012,answers,
AL1013,answers,
AL1014,answers,
AL1015,question_underspecified,库中的age和date_of_birth不一致：按最小age与最新出生日期会得到不同的狗及主人；题目未说明年龄依据，SQL选择出生日期。
AL1016,answers,
AL1017,answers,
AL1018,answers,
AL1019,answers,
AL1020,answers,
AL1021,answers,
AL1022,answers,
AL1023,does_not_answer,City 实际为带尾随空格的 Aberdeen，直接等值比较失败，未列出实际机场名称。
AL1024,answers,
AL1025,answers,
AL1026,answers,
AL1027,answers,
AL1028,answers,
