item_id,verdict,note
AL0410,answers,按国家代码分组筛选球员数大于50者。
AL0411,answers,交集返回1945年前与1955年后出生歌手共享的国籍。
AL0412,answers,按厂商ID统计型号数大于3，返回全名及ID。
AL0413,answers,本库教师年龄都是两位数字文本，字典序与数值序一致，正确从年轻到年长。
AL0414,answers,排除2014年举办过演唱会的场馆。
AL0415,answers,按店铺所在地分组计数。
AL0416,answers,正确关联Kyle的朋友关系并统计条数。
AL0417,answers,按france国家名称筛选并统计汽车制造商。
AL0418,does_not_answer,播出日期是英文月份文本，直接排序不是时间先后顺序。
AL0419,does_not_answer,机场代码及城市名空格未处理，United Airlines到Aberdeen的计数错误。
AL0420,answers,按导演分组正确统计动画数量。
AL0421,does_not_answer,航班代码有前导空格，与机场表代码不一致，错误把全部100个机场判为没有航班。
AL0422,answers,正确统计重量大于10的宠物。
AL0423,answers,正确返回Kyle的年级。
AL0424,does_not_answer,英文月份日期按文本降序，选出的并非实际最新动画。
AL0425,question_underspecified,胜场最多球员选取正确，但其排名积分随比赛变化；问题未说明要哪个时点的积分。
AL0426,answers,返回没有雇佣记录的店铺名称。
AL0427,does_not_answer,SourceAirport含前导空格，AHD直接筛选导致航班数错误为0。
AL0428,answers,筛选会员等级大于4，并按等级从高到低返回姓名。
AL0429,answers,正确排除USA国籍指挥家。
AL0430,does_not_answer,按每辆车输出造成型号反复出现252行，未按所问车型去重。
AL0431,answers,筛选3岁的猫并返回学生主人的姓。
AL0432,answers,按赛事名称分组，返回比赛记录多于10条的赛事。
AL0433,does_not_answer,按比赛行取前三，三行均为Madison Keys，不是3位最年轻胜者。
AL0434,answers,按导演分组计数，正确返回动画数量。
AL0435,does_not_answer,题目要求人口为80000，SQL改成大于80000。
AL0436,does_not_answer,COUNT(*)统计3场胜局，而不是2位不同的左手胜者。
AL0437,answers,按单次奖金最大值返回员工姓名。
AL0438,answers,返回Brazil人口与预期寿命。
AL0439,answers,正确统计女生养的狗。
AL0440,answers,排除有English语言记录的国家代码。
AL0441,answers,按非France国籍筛选歌手姓名。
AL0442,answers,按国家球员数降序返回最多的USA。
AL0443,answers,关联Volvo车型并按最小加速时间返回气缸数。
AL0444,answers,返回Sky Radio频道对应的剧集名称。
AL0445,answers,返回Sky Radio的Content字段。
AL0446,answers,正确统计亚洲国家。
AL0447,answers,排除播过Ben Jones作品的频道，返回剩余频道的套餐。
AL0448,answers,按Tabatha Gehling候选人关联投票，返回创建时间、州和电话号码。
AL0449,answers,限定狗并取最小年龄对应重量。
AL0450,answers,筛选亚洲国家并按预期寿命升序取最小者。
AL0451,question_underspecified,“likes Kyle has”未明确发出还是收到的喜欢；SQL统计Kyle发出的喜欢。
AL0452,answers,以学期交集要求Master与Bachelor学生都注册，返回学期名称。
AL0453,answers,关联学生、养宠关系及宠物，正确统计女生养的狗。
AL0454,answers,按年龄升序排列指挥家姓名。
AL0455,question_underspecified,“with more than 1 room”可仅修饰公寓或同时修饰房屋和公寓；SQL采用后者。
AL0456,answers,按年级统计学生人数。
AL0457,answers,正确统计2013或2016年的比赛数。
AL0458,answers,按国家频道数降序返回最多国家及其数量。
AL0459,answers,排除有英语记录国家后汇总人口。
AL0460,question_underspecified,否定范围可针对单个频道或整个国家所有频道；SQL返回至少有一个不播该编剧作品频道的国家。
AL0461,answers,正确统计USA航空公司数量。
AL0462,does_not_answer,COUNT(Language)重复计算同一语言在多个国家的记录，未统计不同语言种类。
AL0463,answers,按人汇总全部票务支出，返回累计最多者的ID、姓名和等级。
AL0464,answers,正确统计1980年生产的汽车。
AL0465,does_not_answer,起飞机场代码与城市名空格导致连接、过滤失配，漏掉Aberdeen航班。
AL0466,answers,以亚洲最小人口为上界，正确返回人口比所有亚洲国家都少的非洲国家。
AL0467,does_not_answer,机场代码及城市名空格未处理，抵达两城市的统计错误为0。
AL0468,answers,用交集返回2013与2016都有胜场的球员。
AL0469,does_not_answer,机场代码及城市名空格导致筛选失配，未正确统计到Aberdeen的United Airlines航班。
AL0470,answers,排除有朋友关系的学生并取最小年级。
AL0471,answers,正确计算法国歌手年龄平均值、最小值和最大值。
AL0472,question_underspecified,房间数限制可只修饰公寓或也修饰房屋；SQL对房屋不限制房间数。
AL0473,answers,按宠物最小年龄返回类型与重量。
AL0474,answers,使用General Motors或重量大于3500条件，正确返回去重型号。
AL0475,answers,返回歌手人数最多的国籍。
AL0476,answers,正确筛选弃养标记1的狗并返回名字、年龄和重量。
AL0477,does_not_answer,同一制造商因多辆1970年汽车重复返回，34行并非11个不同厂家。
AL0478,answers,按国家球员数降序返回最多的USA。
AL0479,answers,关联美国厂商与型号表，正确统计车型数量。
AL0480,does_not_answer,文本MPG降序优先取到'null'缺失值，返回的citroen并非数值MPG最高车型。
AL0481,answers,返回Sky Radio频道的套餐选项。
AL0482,does_not_answer,把两位导演拼成不存在的单个Directed_by值，未表达对两位导演作品的条件。
AL0483,question_underspecified,问题未定义毕业时间口径；SQL使用离校日期date_left，库中没有明确毕业状态或毕业日期。
AL0484,answers,汇总Gelderland地区全部已记录城市的人口。
AL0485,answers,按Caribbean地区汇总国家面积。
AL0486,answers,在Australian Open胜者记录中按排名积分降序返回最高者。
AL0487,answers,按语言统计使用它的亚洲国家数，取最多者。
AL0488,question_underspecified,“likes Kyle has”未明确发出还是收到的喜欢；SQL统计收到的喜欢。
AL0489,answers,筛选身高大于200的扑克玩家并计算平均收益。
AL0490,answers,按美国厂商关联型号表并正确计数。
AL0491,answers,按国家统计频道数，返回最多的Italy及12个频道。
AL0492,answers,由指定剧集关联频道并返回系列名称。
AL0493,answers,筛选亚洲国家中Chinese为官方语言者并返回不同城市名。
AL0494,answers,同时匹配Timmothy和Ward后返回手机号。
AL0495,answers,用UNION合并永久居住Haiti和匹配指定手机号的学生名字。
AL0496,answers,筛选2009年前开馆的博物馆并计算平均员工数。
AL0497,answers,正确统计9或10年级学生。
AL0498,answers,通过机场表代码AKO正确返回名称。
AL0499,does_not_answer,超过欧洲最小面积只表示大于至少一国；题目“比任何欧洲国家都大”应比较最大面积。
AL0500,answers,按人口升序返回3个人口最低的国家。
AL0501,question_underspecified,题目未区分Kyle发出还是收到的喜欢；SQL按student_id统计发出的喜欢。
AL0502,answers,正确统计独立年份早于1930国家的不同官方语言。
AL0503,answers,通过Kyle的学生ID关联朋友ID并返回朋友姓名。
AL0504,answers,返回Angola的地区和人口。
AL0505,answers,按收益从高到低列出各扑克玩家的收益金额。
AL0506,answers,返回曾执行低于全部治疗平均费用项目的专业人员姓名并去重。
AL0507,answers,筛选非英语频道并返回像素宽高比及国家。
AL0508,answers,筛选gm厂商或重量大于3500的车辆，返回不同型号。
AL0509,answers,返回库中Beatrix领导国家的官方语言。
AL0510,answers,统计非洲国家的不同政府形式数量。
AL0511,answers,筛选左手球员并按出生日期升序，即年龄降序排列。
AL0512,answers,正确合计亚洲人口并取亚洲国家最大GNP。
AL0513,answers,按制造商统计型号数量并返回ID与全名。
AL0514,answers,以交集筛选同时有Master与Bachelor学生注册的学期ID。
AL0515,does_not_answer,机场表代码与带前导空格的航班代码不匹配，错误返回全部100个机场。
AL0516,answers,按面积降序返回最大国家的人口、名称及领导人。
AL0517,answers,两次关联船只，正确要求同一战役损失两艘指定船。
AL0518,does_not_answer,起飞机场代码含前导空格，SQL返回0而实际APG出发航班为11。
AL0519,answers,在Republic国家范围内按语言分组，筛选仅一国使用者。
AL0520,answers,返回Spanish使用比例大于50%的国家代码。
AL0521,answers,按Todd Casey作品关联频道并返回不同国家。
AL0522,answers,按收益降序列出扑克玩家收益。
AL0523,answers,按国籍分组筛选至少2人的国家。
AL0524,does_not_answer,SourceAirport含前导空格，直接APG、CVO比较使交集错误为空。
AL0525,answers,排除有访问记录的博物馆，返回无访客馆名。
AL0526,answers,正确在Make字段匹配完整车型并返回加速时间13.5。
AL0527,answers,按年龄降序返回全部歌手姓名、国家与年龄。
AL0528,answers,正确使用OR筛选Ben Jones或Brandon Vietti导演的动画。
AL0529,answers,先按国家统计制造商数大于2，再计符合国家数。
AL0530,answers,返回非法国国籍歌手姓名。
AL0531,does_not_answer,机场代码与城市名中的空格导致连接及筛选失配，抵达航班统计错误。
AL0532,answers,正确筛选USA球员并返回名字及出生日期。
AL0533,does_not_answer,官方语言标记不等于使用占比最高或过半；SQL未使用Percentage，计数相同仅是当前数据巧合。
AL0534,answers,按国家球员数量筛选大于50者。
AL0535,answers,筛选住Virginia的主人并返回其名字和狗名。
AL0536,answers,正确统计处置为Captured的船只。
AL0537,question_underspecified,题目“sold than 300000”缺少比较词，无法确定要大于还是小于；SQL采用大于。
AL0538,question_underspecified,各籍贯人数都是1并列最多；题目未明确并列处理方式。
AL0539,does_not_answer,起飞机场代码有前导空格，直接过滤APG漏掉11条航班。
AL0540,answers,以General Motors或重量大于3500筛选并返回不同车型。
AL0541,answers,先筛选有超过2家制造商的国家，再统计国家数量。
AL0542,answers,返回JetBlue Airways所属国家USA。
AL0543,does_not_answer,MPG中的文本'null'被AVG当作0计入；四缸车有效数值平均为29.2868而非28.8623。
AL0544,does_not_answer,起飞机场代码有前导空格，AHD直接筛选错误为空。
AL0545,answers,按比赛时长降序返回最长比赛胜负双方姓名。
AL0546,question_underspecified,题目未明确Kyle发出还是收到的喜欢；SQL统计收到的喜欢。
AL0547,answers,将教师年龄转成数值并从年轻到年长排序。
AL0548,answers,正确返回Kyle的年级。
AL0549,answers,筛选1930年前独立国家，并统计不同官方语言。
AL0550,answers,交集返回1945年前与1955年后出生歌手共享的国籍。
AL0551,answers,按USA筛选航空公司并返回名称、缩写。
AL0552,answers,正确计算亚洲总人口与最大GNP。
AL0553,answers,返回重量低于汽车总体平均值的车辆型号。
AL0554,answers,按员工年龄升序排列姓名。
AL0555,answers,按国家最大语言占比回查全部匹配语言，包含并列最高者。
AL0556,answers,正确返回10年级学生姓名。
AL0557,answers,筛选Chinese语言记录并统计不同洲数。
AL0558,does_not_answer,城市名实际为'Aberdeen '，未处理尾随空格，遗漏两个机场。
AL0559,answers,按店铺所在地分组计数。
AL0560,does_not_answer,仅检查是否有Spanish记录，未要求西班牙语占多数或占比最高，额外包含非主要语言国家。
AL0561,answers,按籍贯筛选至少2名教师的城镇；实际各城镇仅1人，结果为空。
AL0562,answers,正确统计Afghanistan的官方语言数。
AL0563,does_not_answer,缺少狗的类型条件，查询最年轻宠物而不是最年轻狗。
AL0564,answers,按国家代码统计球员数量。
AL0565,answers,通过课程安排关联Math课程，返回授课教师姓名。
AL0566,answers,统计有Chinese语言记录的不同洲数。
AL0567,answers,按国家面积降序返回前5个国家及面积。
AL0568,answers,排除养宠学生后计算其余学生平均年龄。
AL0569,does_not_answer,城市实际存为'Anthony '，直接等值条件遗漏ANY机场。
AL0570,answers,正确统计1980年生产汽车数。
AL0571,does_not_answer,按比赛行截取三行均为Madison Keys，未返回三个不同胜者。
AL0572,answers,正确统计2013或2016年的比赛。
AL0573,answers,由指定剧集关联并返回所属频道系列名称。
AL0574,answers,要求官方语言集合同时包含English和French。
AL0575,answers,正确按标题字母顺序排列动画。
AL0576,does_not_answer,文本MPG的MAX结果是字符串'null'，不是数值最大值。
AL0577,answers,返回Kyle的年级。
AL0578,answers,正确统计1980年汽车生产记录。
AL0579,answers,按导演分组返回动画数。
AL0580,answers,按学生ID分组，要求猫、狗两种宠物都存在。
AL0581,answers,正确筛选32或33岁的教师。
AL0582,answers,返回高于歌手平均年龄者的歌曲名称。
AL0583,answers,从全部频道中排除播放Ben Jones作品的频道ID。
AL0584,answers,返回商品数高于全体店铺平均值的店名。
AL0585,answers,正确统计USA航空公司数。
AL0586,answers,汇总Gelderland地区已记录城市的人口。
AL0587,answers,按年龄升序排列指挥家姓名。
AL0588,answers,返回在2014年演唱会演出的歌手并去重。
AL0589,does_not_answer,SourceAirport带前导空格，两个机场条件不匹配，差集错误为空。
AL0590,answers,返回执行过低于总体平均费用治疗的专业人员姓名并去重。
AL0591,answers,筛选2013年后演唱会，按场馆次数取最多者名称及容量。
AL0592,answers,按赛事名称分组，筛选比赛数大于10。
AL0593,answers,按国籍返回最大净资产。
AL0594,answers,按语言统计亚洲使用国家数，取最多者。
AL0595,answers,按专业人员统计治疗次数，正确筛选至少2次者并返回ID、角色和名字。
AL0596,does_not_answer,若比较各国西语占比，CUB与SLV均为100%，LIMIT 1漏一国；若问各国内主要语言，则也遗漏其他国家。
AL0597,answers,正确筛选Ben Jones或Brandon Vietti的动画标题。
AL0598,answers,以Aruba对应国家代码统计语言记录。
AL0599,answers,正确取1974年八缸汽车的最小重量。
AL0600,answers,筛选Make包含volvo的汽车，正确计算平均发动机排量。
AL0601,does_not_answer,Horsepower含2条文本'null'，CAST变成0计入平均，结果111.1329而非有效值均值111.8408。
AL0602,answers,使用交集返回2014、2015均办过演唱会的场馆及位置。
AL0603,does_not_answer,文本'null'被AVG当作0，错误拉低1980年前汽车的平均马力。
AL0604,answers,按主人汇总全部狗的治疗费用，返回总额最多者ID和邮编。
AL0605,answers,筛选Chinese语言记录并统计不同洲数。
AL0606,does_not_answer,机场代码及城市名空格造成连接、过滤失配，遗漏Aberdeen出发航班。
AL0607,answers,正确计算身高大于200的扑克玩家平均收益。
AL0608,does_not_answer,SourceAirport带前导空格，APG直接筛选遗漏11条航班。
AL0609,does_not_answer,同一学生Tracy因两只狗重复返回，未按学生去重。
AL0610,does_not_answer,未处理航班代码前导空格，错误把所有机场都判为无进出航班。
AL0611,answers,以亚洲最小人口为上界，正确筛选少于每个亚洲国家人口的非洲国家。
AL0612,question_underspecified,登记age与出生日期的年龄顺序冲突；问题未指定依据，SQL使用登记age。
AL0613,answers,限定亚洲及Chinese为官方语言，返回去重城市名。
AL0614,does_not_answer,两个年份都有胜场比两个年份都参赛更严格，漏掉某年仅有败场的参赛胜者。
AL0615,does_not_answer,目的机场代码有前导空格，直接与AHD比较错误返回空表。
AL0616,answers,库中非洲所有Region均含Africa且无其他洲满足，LIKE筛选等价于非洲范围。
AL0617,answers,正确统计france所属汽车制造商。
AL0618,answers,每位有朋友学生取一次，正确计算平均年级。
AL0619,does_not_answer,Horsepower含文本'null'，AVG按0处理导致平均马力偏低。
AL0620,answers,正确计算身高大于200的扑克玩家平均收益。
AL0621,answers,按france国家关联并统计汽车厂商数。
AL0622,answers,从非Republic分类国家中排除有English语言记录的国家。
AL0623,does_not_answer,DestAirport带前导空格，ATO直接过滤得到0而实际有7条到达航班。
AL0624,answers,正确筛选两位指定导演中任一人的动画。
AL0625,question_underspecified,9至12年级各4人并列最多，题目未说明并列时取一个年级还是全部。
AL0626,answers,筛选养猫或养狗学生并去重名字。
AL0627,does_not_answer,LIMIT 1后再COUNT只得1；最高西语占比100%实际有CUB、SLV两国，亦不是主要使用西语的全部国家数。
AL0628,question_underspecified,5个国家各有12种语言并列最高；题目未明确如何处理并列。
AL0629,answers,将马力转为数值后正确统计大于150的汽车。
AL0630,answers,排除任何有船在English Channel损失的战役，正确保留无此损失者。
AL0631,answers,返回不来自指定籍贯的教师姓名。
AL0632,answers,以非洲最大人口为界，正确筛选人口超过所有非洲国家的亚洲国家。
AL0633,does_not_answer,返回每个符合国家的厂商数4、4、3、5，未汇总成所问国家总数4。
AL0634,answers,筛选English或Dutch语言记录并返回不同地区。
AL0635,does_not_answer,英文月份日期按文本排序，未按实际播出时间排序。
AL0636,answers,正确统计英语频道数量。
AL0637,does_not_answer,日期存为英文月份文本，倒序选出2008年11月而非最新2009年2月动画。
AL0638,answers,返回20岁以上歌手所属的不同国家。
AL0639,answers,正确返回1岁以上宠物的ID和重量。
AL0640,question_underspecified,最早1970年有多辆车和多家制造商，题目用单数但未指定并列对象；SQL任取gm。
AL0641,answers,正确汇总Caribbean地区国家面积。
AL0642,answers,排除拥有猫的学生，保留无宠物者，返回学生ID。
AL0643,does_not_answer,朋友连接使多朋友学生重复进入AVG，按朋友数加权得到10.25而非学生均值10.4286。
AL0644,answers,本库教师年龄两位数字文本可正确排序，返回最年轻教师籍贯。
AL0645,answers,按商品数量降序返回各店铺名称、位置和地区。
AL0646,answers,要求场馆演唱会年份同时包含2014、2015，正确返回名称及位置。
AL0647,answers,返回Sky Radio频道对应的全部剧集名称。
AL0648,answers,通过欧洲洲ID筛选国家并要求至少3家制造商。
AL0649,answers,按math课程名返回课程描述字段。
AL0650,answers,按出生日期升序返回最年长球员名字及国家代码。
AL0651,does_not_answer,只排除播过该编剧作品的频道，仍返回其他频道也播该作品的Italy和United Kingdom，未按国家整体排除。
AL0652,answers,正确合计Caribbean地区国家面积。
AL0653,answers,筛选等级高于4的访客并按等级降序返回姓名。
AL0654,answers,返回没有雇佣记录的店铺。
AL0655,answers,根据库中对应名字Joseph Kuhr统计其编剧动画数。
AL0656,answers,按人口降序返回前三个国家。
AL0657,answers,准确匹配Timmothy Ward并返回手机号。
AL0658,does_not_answer,州名存为'NorthCarolina'，带空格等值条件不匹配，漏掉Gleichner和Weimann。
AL0659,answers,返回记录使用至少一种非英语语言的国家代码并去重。
AL0660,answers,正确返回10年级学生姓名。
AL0661,answers,正确合计Caribbean地区国家面积。
AL0662,does_not_answer,未处理航班代码前导空格，错误返回所有机场为无进出航班。
AL0663,answers,按歌名含Hey筛选歌手姓名及国家。
AL0664,answers,按专业人员统计治疗次数，筛选至少2次并返回ID、角色和名字。
AL0665,answers,返回20岁以上歌手所属不同国家。
AL0666,answers,以Kyle的学生ID关联朋友ID，返回朋友姓名。
AL0667,does_not_answer,机场代码及城市名空格导致连接、过滤失配，遗漏实际出发航班。
AL0668,answers,筛选单曲销量超过300000的歌手并去重姓名。
AL0669,answers,按歌手国籍分组返回最大净资产。
AL0670,answers,正确统计1980年生产汽车数。
AL0671,answers,正确统计Joseph Kuhr编剧的动画。
AL0672,answers,返回Ben Jones导演的动画标题。
AL0673,answers,正确统计Aruba语言记录数量。
AL0674,answers,按标准时间戳降序返回最近治疗的费用。
AL0675,answers,定位最大容量场馆并统计其演唱会；实际为0。
AL0676,does_not_answer,同一歌手Justin Brown在2014年参加两场，结果重复返回，未按歌手去重。
AL0677,answers,按治疗日期降序取最近一次的费用。
AL0678,answers,返回重量低于全部汽车平均值的车辆对应型号。
AL0679,question_underspecified,最早年份有多辆车及多家制造商，题目未指定并列对象，SQL任取一车的厂家。
AL0680,answers,将MPG转为数值排序，正确返回最高油耗里程车型mazda。
AL0681,answers,排除有英语语言记录国家后汇总人口。
AL0682,question_underspecified,“only used by a single republic country”可限定全球使用国数或只计共和制国家；SQL仅计后者。
AL0683,question_underspecified,多个国家人口为0并列最少；题目未说明并列时取一个还是全部。
AL0684,does_not_answer,目的机场代码与城市名空格使连接、过滤失配，Aberdeen到达数错误为0。
AL0685,question_underspecified,部分国家有并列最高语言比例，题目未明确每国选一门还是列出全部；SQL每国只取一门。
AL0686,answers,正确返回非英语频道的像素宽高比及国家。
AL0687,answers,按商品数量从多到少返回店铺名称、位置和地区。
AL0688,does_not_answer,起飞机场代码含前导空格，直接与AHD比较遗漏实际航班公司。
AL0689,answers,按单次奖金最大值返回员工姓名。
AL0690,answers,先筛选制造商数超过2的国家，再计国家总数。
AL0691,answers,用UNION合并Indiana居民和执行超过2次治疗的专业人员。
AL0692,does_not_answer,内连接漏掉没有演唱会的Joe Sharp，未返回每位歌手的次数。
AL0693,answers,正确返回JetBlue Airways的缩写。
AL0694,question_underspecified,治疗类型最便宜可按最低单次费用或平均费用理解；SQL选择最低单次费用。
AL0695,answers,使用UNION返回厂商数大于3或生产fiat的国家ID及名称。
AL0696,answers,正确统计GovernmentForm为Republic的国家。
AL0697,does_not_answer,同一学生Tracy因两只狗重复返回两行，未按学生去重。
AL0698,answers,通过课程安排筛选Math课程并返回授课教师。
AL0699,answers,按教师籍贯分组计数。
AL0700,answers,关联美国厂商及型号表，正确统计车型数。
AL0701,answers,正确统计JetBlue Airways的100条航班记录。
AL0702,answers,按WTA Championships及左手筛选，并去重胜者计数。
AL0703,answers,通过航空公司ID正确统计JetBlue Airways航班数。
AL0704,answers,正确筛选欧洲且人口恰为80000的国家；当前无符合者。
AL0705,answers,按国家要求English与French两种语言均存在。
AL0706,does_not_answer,机场代码前导空格使CVO与APG筛选失配，差集错误为空。
AL0707,answers,筛选1980年后汽车并返回不同型号。
AL0708,answers,正确返回Sky Radio的频道内容。
AL0709,answers,交集要求同一国家同时有40岁以上与30岁以下歌手。
AL0710,does_not_answer,SourceAirport带前导空格，APG和CVO直接比较不匹配，交集错误为空。
AL0711,answers,按主人统计狗数并返回最多者ID、名字和姓氏。
AL0712,answers,汇总Gelderland地区已记录城市的人口。
AL0713,answers,正确统计英语频道数。
AL0714,answers,正确关联United Airlines并返回航班号。
AL0715,answers,正确统计American Motor Company的车型数。
AL0716,does_not_answer,只要求两赛事都有单场胜利，未限定赛事夺冠；WTA记录为循环赛RR轮。
AL0717,answers,正确返回Port Chelsea邮政编码。
AL0718,does_not_answer,最大西语比例100%有CUB和SLV，LIMIT 1遗漏并列国家；也不满足各国内西语为主要语言的读法。
AL0719,answers,返回Ben Jones导演的全部动画标题。
AL0720,answers,正确统计2014或2015年的演唱会。
AL0721,does_not_answer,目的机场代码及城市名空格造成连接、筛选失配，遗漏到达Aberdeen航班。
AL0722,question_underspecified,“car”与“versions”未明确按Model、Make还是配置/年份划分；SQL按相同Make的记录数比较。
AL0723,answers,筛选重量3000至4000磅的汽车并返回不同生产年份。
AL0724,answers,按狗汇总治疗费用，正确筛选总额超过1000者。
AL0725,answers,正确返回Plaza Museum的开馆年份与员工数。
AL0726,answers,筛选英语或荷兰语为官方语言的国家；实际48条国家无重复。
AL0727,answers,按治疗日期降序返回最新治疗费用。
AL0728,does_not_answer,起飞机场代码有前导空格，AHD直接比较遗漏航空公司。
AL0729,answers,按出生日期升序返回最年长球员名字与国家代码。
AL0730,answers,筛选左手球员，出生日期降序即年龄从小到大排序。
AL0731,answers,正确返回指定剧集的播出日期。
AL0732,answers,筛选Hawaii或Wisconsin专业人员并返回邮箱。
AL0733,answers,返回非USA国籍指挥家姓名。
AL0734,answers,按主人累计全部狗的治疗费用，返回总额最多者ID与邮编。
AL0735,answers,正确统计非洲国家不同政府形式数量。
AL0736,answers,关联Kyle的学生ID并正确统计朋友数。
AL0737,does_not_answer,"用不存在的合并导演字符串'Ben Jones, Michael Chang'比较，未表达两位导演的作品条件。"
AL0738,answers,按净资产升序排列歌手姓名。
AL0739,does_not_answer,SourceAirport含前导空格，AHD直接筛选使United Airlines航班数错误为0。
AL0740,answers,按国籍分组统计人数。
AL0741,answers,正确统计USA航空公司数量。
AL0742,answers,按船汇总受伤人数，返回总伤人数最多船只的ID及名称。
AL0743,answers,按单次购票数降序，返回一次购票最多者姓名和年龄。
AL0744,answers,按出生日期升序排列全部球员，即按年龄从大到小。
AL0745,answers,按店铺雇佣人数降序返回最多员工的店名。
AL0746,does_not_answer,州名实际为'NorthCarolina'，带空格条件不匹配，漏掉两位未注册学生。
AL0747,answers,按学生ID分组要求同时有猫和狗，并返回完整姓名。
AL0748,answers,按国籍返回歌手最大净资产。
AL0749,answers,筛选Virginia主人并返回其名字及所养狗名。
AL0750,does_not_answer,SQL只超过欧洲最小面积，未满足超过欧洲任何国家所需的最大面积比较。
AL0751,answers,“won in”按赛事内获胜理解，要求两个赛事均有胜场；目标记录中姓名和国家组合唯一。
AL0752,answers,正确统计2013或2016年的比赛数。
AL0753,answers,返回非USA国籍指挥家姓名。
AL0754,answers,返回有单曲销量超过300000的歌手并去重姓名。
AL0755,answers,按商品数量降序返回店铺名、位置与地区。
AL0756,answers,按厂家ID统计车型数并返回ID、全名，覆盖全部厂商。
AL0757,does_not_answer,仅统计有演唱会关系的歌手，漏掉0场的Joe Sharp。
AL0758,answers,限定3岁的猫并返回学生主人的姓。
AL0759,answers,按国籍分组返回歌手数量。
AL0760,answers,排除播过Ben Jones作品的频道后返回套餐选项。
AL0761,answers,准确匹配Timmothy Ward并返回手机号。
AL0762,answers,排除英语为官方语言的国家，正确计算其余国家平均预期寿命。
AL0763,answers,按主人所养狗数取最多者，并返回ID及姓名。
AL0764,does_not_answer,DestAirport有前导空格，SQL统计为0而United Airlines到ASY实际有1班。
AL0765,answers,按非洲国家统计不同政府形式。
AL0766,answers,分别关联英语与法语记录，正确要求国家同时使用两者。
AL0767,answers,按机场表代码AKO正确返回机场名。
AL0768,does_not_answer,目的机场代码前导空格未处理，United Airlines到ASY的1班航班被漏掉。
AL0769,answers,交集返回同时注册Master与Bachelor学生的学期ID，题目未限定须返回名称。
AL0770,answers,按缩写UAL正确返回United Airlines。
AL0771,does_not_answer,题目限定医生，SQL未筛选兽医角色，返回了Employee等非医生人员。
AL0772,answers,排除养猫学生并返回其余学生专业及年龄，含无宠物者。
AL0773,answers,返回没有课程安排记录的教师姓名。
AL0774,does_not_answer,SourceAirport带前导空格，直接过滤APG遗漏11条航班。
AL0775,answers,按店铺所在地分组计数。
AL0776,answers,按国家制造商数量取最多的japan。
AL0777,does_not_answer,起飞机场代码有前导空格，APG直接匹配漏掉实际航班。
AL0778,answers,按比赛时长降序返回最长一场的胜负双方姓名。
AL0779,answers,返回商品数量高于全部店铺平均值的店名。
AL0780,answers,通过差集返回没有English语言记录的国家代码。
AL0781,answers,按主人统计犬只数量并取最大值，返回拥有3只犬的主人编号及姓名。
AL0782,answers,按学生编号连接持有关系，筛选年龄大于20并统计宠物数，实得0。
AL0783,answers,按制造商分组统计车型，返回车型数大于3的制造商全名及编号。
AL0784,answers,正确连接学生、持有关系和宠物，筛出3岁猫的主人姓氏。
AL0785,answers,按首次注册日期升序取第一位学生，返回其名、中间名和姓。
AL0786,answers,先筛选30岁以下员工，再按城市统计并保留人数大于1的城市。
AL0787,answers,分别筛选使用英语和法语的国家，通过交集返回同时满足的国家名。
AL0788,answers,以演唱会所用体育场编号作排除条件，返回没有演唱会的体育场。
AL0789,does_not_answer,航班起点代码含前导空格，直接与'AHD'比较使实际存在的联合航空航班被漏掉，计数误为0。
AL0790,question_underspecified,“visited some museums more than once”可指总参观次数超过1，也可指重复参观同一家；SQL仅统计总次数。
AL0791,does_not_answer,City中实际保存'Anthony '，末尾空格导致等值筛选为空，漏掉当地机场。
AL0792,answers,按制造商全名统计车型；本库22家制造商均有车型，返回计数和全名。
AL0793,answers,排除所有养猫学生，返回剩余学生的专业和年龄，包含没有宠物的学生。
AL0794,answers,按年级分组统计高中生人数，四个年级分别返回4人。
AL0795,does_not_answer,航班目的地代码有前导空格、城市名有尾随空格，连接和筛选均未规范化，错误返回0。
AL0796,answers,按Continent='Asia'筛选并计数，返回51个国家记录。
AL0797,answers,按制造商编号统计车型并筛选超过3种，Maker外键即所求制造商编号。
AL0798,answers,按指定节目集名筛选，并沿频道外键返回频道的series_name。
AL0799,answers,由Kabul所在城市关联国家，返回该国的Region。
AL0800,answers,按节目集名称精确筛选，返回其Air_Date。
AL0801,answers,对40岁以上和30岁以下歌手的国家取交集，返回France。
AL0802,answers,以IndepYear作为建国年份字段，正确筛选1950年之后的国家名。
AL0803,answers,筛选CA投票后取created最大值，返回该州最新投票时间。
AL0804,does_not_answer,“比亚洲任何国家都少”应与亚洲最小人口比较；SQL用最大人口，使58个非洲国家全部入选。
AL0805,does_not_answer,"航班起点代码含前导空格，IN('APG','CVO')没有匹配，错误返回空集。"
AL0806,answers,按体育场编号排除举办过演唱会的场地，返回未举办者名称。
AL0807,does_not_answer,Caribbean地区不等同于美国属地；查询既包含其他国家又漏掉非加勒比地区的美国属地。
AL0808,answers,先定位容量最大的体育场，再统计其演唱会数量，结果为0。
AL0809,answers,按宠物年龄升序取最小者，返回其类型dog及体重9.3。
AL0810,answers,沿制造商、车型和车辆关系筛选volvo，按Accelerate最小值返回对应气缸数6。
